mean,range,outliers,asymmetry,pulsar
121.15625,48.37297113,0.375484665,-0.013165489,0
76.96875,36.17555664,0.71289786,3.388718563,0
130.5859375,53.22953353,0.133408289,-0.297241641,0
156.3984375,48.86594223,-0.215988596,-0.171293649,0
84.8046875,36.11765898,0.825012787,3.274125373,0
121.0078125,47.17694354,0.229708131,0.09133623,0
79.34375,42.40217372,1.063412906,2.24437669,0
109.40625,55.91252061,0.565105947,0.056246664,0
95.0078125,40.21980546,0.3475781,1.153164381,0
109.15625,47.00223357,0.394181838,0.190295686,0
130.0859375,46.40262441,-0.046584831,-0.034468391,0
96.9375,40.53735738,0.419405572,0.755829381,0
146.6953125,47.80617746,-0.468418783,0.554926309,0
102.3671875,49.8420742,0.32951523,0.180464824,0
125.609375,53.51478102,0.109210844,-0.413431636,0
150.09375,56.70047915,-0.256682808,-0.59470588,0
104.5625,46.65879305,0.35050536,0.165345961,0
133.125,59.95727646,0.012855051,-0.804890239,0
125.1484375,46.00001526,0.114333106,-0.041770772,0
99.28125,71.95646877,0.765557849,-0.82764003,0
83.9375,45.71271534,0.74877682,1.342901713,0
135.1328125,47.87179674,-0.155980676,0.37556666,0
111.7109375,46.57053661,0.272860629,-0.061646003,0
127.328125,45.33953665,-0.02866461,-0.206532229,0
101.9140625,52.23953653,0.21674266,-0.291253721,0
108.7421875,47.58910164,0.462444242,0.245138892,0
128.484375,50.99141845,0.058376664,-0.495919613,0
102.234375,44.50780907,0.543618819,0.455562472,0
98.5703125,45.06950944,0.349156883,0.853318645,0
36.7109375,38.26024216,4.363306569,20.29698008,1
108.7578125,47.47083744,0.233883385,-0.011839737,0
117.6796875,47.45704202,0.214801403,-0.13550329,0
43.5,28.49122672,4.334565003,26.33986977,1
122.09375,50.78346149,0.01799367,-0.417075863,0
121.5546875,58.891294,0.013886214,-0.71180853,0
84.546875,35.81045138,0.90360292,2.969175667,0
126.5625,40.25305695,0.062489168,0.431275602,0
66.8515625,58.08803796,1.802132263,2.232983407,1
100.078125,51.50828352,0.499828032,0.060150662,0
135.265625,50.1224258,-0.101259289,-0.398289737,0
105.2734375,48.25303016,0.512676158,0.450317547,0
142.96875,41.5584937,-0.343295424,0.391281115,0
107.171875,41.14268415,0.421809082,1.514337381,0
126.2734375,49.21790116,0.028076659,-0.176735487,0
