FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2023-01-18 04:21:05,33.93911,67.709953,208009,7859,,,Afghanistan,534.3382087615806,3.778201904725276
,,,Albania,2023-01-18 04:21:05,41.1533,20.1683,334064,3596,,,Albania,11608.311904927376,1.0764404425499305
,,,Algeria,2023-01-18 04:21:05,28.0339,1.6596,271292,6881,,,Algeria,618.667154621613,2.5363814635153266
,,,Andorra,2023-01-18 04:21:05,42.5063,1.5218,47781,165,,,Andorra,61840.41933605125,0.34532554781189173
,,,Angola,2023-01-18 04:21:05,-11.2027,17.8739,105095,1930,,,Angola,319.7655419836533,1.8364337028402873
,,,Antarctica,2023-01-18 04:21:05,-71.9499,23.347,11,0,,,Antarctica,,0.0
,,,Antigua and Barbuda,2023-01-18 04:21:05,17.0608,-61.7964,9106,146,,,Antigua and Barbuda,9298.668409443671,1.6033384581594552
,,,Argentina,2023-01-18 04:21:05,-38.4161,-63.6167,10024095,130338,,,Argentina,22179.273519293627,1.3002470547216483
,,,Armenia,2023-01-18 04:21:05,40.0691,45.0382,446008,8717,,,Armenia,15051.393173809423,1.9544492475471291
,,Australian Capital Territory,Australia,2023-01-18 04:21:05,-35.4735,149.0124,229434,148,,,"Australian Capital Territory, Australia",53593.55290819902,0.06450656833773546
,,New South Wales,Australia,2023-01-18 04:21:05,-33.8688,151.2093,3858737,5993,,,"New South Wales, Australia",47533.09928553831,0.15530988507379487
,,Northern Territory,Australia,2023-01-18 04:21:05,-12.4634,130.8456,103914,87,,,"Northern Territory, Australia",42310.260586319215,0.08372307869969398
,,Queensland,Australia,2023-01-18 04:21:05,-27.4698,153.0251,1771741,2526,,,"Queensland, Australia",34634.75711074186,0.1425716286974225
,,South Australia,Australia,2023-01-18 04:21:05,-34.9285,138.6007,870164,1203,,,"South Australia, Australia",49539.65271847424,0.1382498011869027
,,Tasmania,Australia,2023-01-18 04:21:05,-42.8821,147.3272,283417,237,,,"Tasmania, Australia",52925.67693744164,0.08362236563085489
,,Victoria,Australia,2023-01-18 04:21:05,-37.8136,144.9631,2853876,6638,,,"Victoria, Australia",43045.53613176669,0.23259595020946952
,,Western Australia,Australia,2023-01-18 04:21:05,-31.9505,115.8605,1276129,880,,,"Western Australia, Australia",48510.94807268304,0.06895854572696021
,,,Austria,2023-01-18 04:21:05,47.5162,14.5501,5744897,21576,,,Austria,63786.82936578433,0.3755680911250454
,,,Azerbaijan,2023-01-18 04:21:05,40.1431,47.5769,827450,10054,,,Azerbaijan,8160.920390465693,1.215058311680464
,,,Bahamas,2023-01-18 04:21:05,25.025885,-78.035889,37491,833,,,Bahamas,9533.678492961184,2.2218665813128484
,,,Bahrain,2023-01-18 04:21:05,26.0275,50.55,699700,1540,,,Bahrain,41120.53305657144,0.2200943261397742
,,,Bangladesh,2023-01-18 04:21:05,23.685,90.3563,2037386,29441,,,Bangladesh,1237.1082840233848,1.4450379064153773
,,,Barbados,2023-01-18 04:21:05,13.1939,-59.5432,105905,569,,,Barbados,36853.05754582056,0.5372739719559984
,,,Belarus,2023-01-18 04:21:05,53.7098,27.9534,994037,7118,,,Belarus,10519.665910386577,0.7160699249625517
,,Antwerp,Belgium,2023-01-18 04:21:05,51.2195,4.4024,755137,0,,,"Antwerp, Belgium",40642.7712587716,0.0
,,Brussels,Belgium,2023-01-18 04:21:05,50.8503,4.3517,503175,0,,,"Brussels, Belgium",41634.8790526105,0.0
,,East Flanders,Belgium,2023-01-18 04:21:05,51.0362,3.7373,634729,0,,,"East Flanders, Belgium",41894.53382827392,0.0
,,Flemish Brabant,Belgium,2023-01-18 04:21:05,50.9167,4.5833,458786,0,,,"Flemish Brabant, Belgium",40027.569960957095,0.0
,,Hainaut,Belgium,2023-01-18 04:21:05,50.5257,4.0621,515748,0,,,"Hainaut, Belgium",38367.2273052228,0.0
,,Liege,Belgium,2023-01-18 04:21:05,50.4496,5.8492,416685,0,,,"Liege, Belgium",37641.1934322922,0.0
,,Limburg,Belgium,2023-01-18 04:21:05,50.9739,5.342,346813,0,,,"Limburg, Belgium",39678.942117595376,0.0
,,Luxembourg,Belgium,2023-01-18 04:21:05,50.0547,5.4677,122286,0,,,"Luxembourg, Belgium",42961.937619010816,0.0
,,Namur,Belgium,2023-01-18 04:21:05,50.331,4.8221,201696,0,,,"Namur, Belgium",40802.30617508724,0.0
,,Unknown,Belgium,2023-01-18 04:21:05,,,62878,33478,,,"Unknown, Belgium",,53.24278762047139
,,Walloon Brabant,Belgium,2023-01-18 04:21:05,50.4,4.35,172789,0,,,"Walloon Brabant, Belgium",42812.04859278641,0.0
,,West Flanders,Belgium,2023-01-18 04:21:05,51.0536,3.1458,495425,0,,,"West Flanders, Belgium",41430.56173461025,0.0
,,,Belize,2023-01-18 04:21:05,17.1899,-88.4976,70555,688,,,Belize,17744.284129862357,0.9751257883920346
,,,Benin,2023-01-18 04:21:05,9.3077,2.3158,27989,163,,,Benin,230.87142518005564,0.5823716460037872
,,,Bhutan,2023-01-18 04:21:05,27.5142,90.4336,62577,21,,,Bhutan,8109.90497814964,0.033558655736133085
,,,Bolivia,2023-01-18 04:21:05,-16.2902,-63.5887,1181351,22337,,,Bolivia,10120.346655525314,1.8908012944501678
,,,Bosnia and Herzegovina,2023-01-18 04:21:05,43.9159,17.6791,401226,16243,,,Bosnia and Herzegovina,12229.461277152172,4.048341832284049
,,,Botswana,2023-01-18 04:21:05,-22.3285,24.6849,328581,2795,,,Botswana,13972.508371870515,0.850627394767196
,,Acre,Brazil,2023-01-18 04:21:05,-9.0238,-70.812,160039,2041,,,"Acre, Brazil",18146.348653812354,1.2753141421778442
,,Alagoas,Brazil,2023-01-18 04:21:05,-9.5713,-36.782,336615,7229,,,"Alagoas, Brazil",10086.274857619368,2.147557298397279
,,Amapa,Brazil,2023-01-18 04:21:05,0.902,-52.003,183506,2166,,,"Amapa, Brazil",21697.91576754311,1.1803428770721394
,,Amazonas,Brazil,2023-01-18 04:21:05,-3.4168,-65.8561,625169,14421,,,"Amazonas, Brazil",15083.951467416497,2.306736258515697
