Country,Latitude,Longitude,OOSR_Pre0Primary_Age,OOSR_Primary_Age,OOSR_Lower_Secondary_Age,OOSR_Upper_Secondary_Age,Completion_Rate_Primary,Completion_Rate_Lower_Secondary,Completion_Rate_Upper_Secondary,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate,Gender
Burkina Faso,12.238333,1.561593,81,22,44,65,29,6,2,36,59,21,22,0,0,55,37.93,96.1,6.5,6.26,1
Burkina Faso,12.238333,1.561593,81,21,48,67,32,13,6,36,59,21,22,0,0,62,37.93,96.1,6.5,6.26,0
Burundi,3.373056,29.918886,52,9,36,67,46,26,4,79,97,7,40,0,0,0,39.01,121.4,6.1,1.43,0
Burundi,3.373056,29.918886,50,6,31,62,54,19,3,79,97,7,40,0,0,0,39.01,121.4,6.1,1.43,1
Cambodia,12.565679,104.990963,44,9,14,0,79,39,20,0,0,50,0,8,10,0,22.46,107.4,13.7,0.68,1
Cambodia,12.565679,104.990963,48,9,12,0,68,41,20,0,0,50,0,8,10,0,22.46,107.4,13.7,0.68,0
Cameroon,7.369722,12.354722,57,13,40,58,74,43,21,30,57,24,12,0,0,82,35.39,103.4,12.8,3.38,1
Cameroon,7.369722,12.354722,56,4,33,50,75,52,26,30,57,24,12,0,0,88,35.39,103.4,12.8,3.38,0
Canada,56.130366,106.346771,0,0,0,6,0,0,0,96,69,0,0,86,84,0,10.1,100.9,68.9,5.56,0
Canada,56.130366,106.346771,0,0,0,6,0,0,0,96,69,0,0,86,84,0,10.1,100.9,68.9,5.56,1
Cape Verde,16.5388,23.0418,19,6,14,29,0,0,0,0,0,0,0,0,0,0,19.49,104.0,23.6,12.25,0
Cape Verde,16.5388,23.0418,19,7,13,24,0,0,0,0,0,0,0,0,0,0,19.49,104.0,23.6,12.25,1
Central African Republic,6.611111,20.939444,0,0,0,0,54,16,8,0,0,0,0,0,0,48,35.35,102.0,3.0,3.68,0
Central African Republic,6.611111,20.939444,0,0,0,0,33,8,6,0,0,0,0,0,0,29,35.35,102.0,3.0,3.68,1
Chad,15.454166,18.732207,87,35,70,85,24,10,6,18,48,3,3,0,0,0,42.17,86.8,3.3,1.89,1
Chad,15.454166,18.732207,85,17,55,71,31,18,15,18,48,3,3,0,0,0,42.17,86.8,3.3,1.89,0
Chile,35.675147,71.542969,8,2,6,5,97,97,88,94,90,70,75,68,28,0,12.43,101.4,88.5,7.09,1
Chile,35.675147,71.542969,8,1,5,5,96,94,83,94,90,70,75,68,28,0,12.43,101.4,88.5,7.09,0
China,35.86166,104.195397,0,0,0,0,97,93,63,82,85,0,0,80,79,100,10.9,100.2,50.6,4.32,0
China,35.86166,104.195397,0,0,0,0,97,93,67,82,85,0,0,80,79,100,10.9,100.2,50.6,4.32,1
Colombia,4.570868,74.297333,3,3,6,22,91,74,69,79,64,55,48,50,35,99,14.88,114.5,55.3,9.71,0
